trial,sigma,success,steps,final_confidence,rcp,R,T
12,0.1,1,11,0.9992,396.00,3,0.2
13,0.1,1,11,0.9991,396.00,3,0.2
14,0.1,1,11,0.9991,396.00,3,0.2
15,0.1,1,11,0.9992,396.00,3,0.2
16,0.1,1,11,0.9991,396.00,3,0.2
17,0.1,1,11,0.9991,396.00,3,0.2
18,0.1,1,11,0.9991,396.00,3,0.2
19,0.1,1,11,0.9992,396.00,3,0.2
20,0.1,1,11,0.9991,396.00,3,0.2
21,0.1,1,11,0.9991,396.00,3,0.2
22,0.1,1,11,0.9991,396.00,3,0.2
23,0.1,1,11,0.9991,396.00,3,0.2
24,0.1,1,11,0.9991,396.00,3,0.2
25,0.1,1,11,0.9991,396.00,3,0.2
26,0.1,1,11,0.9991,396.00,3,0.2
27,0.1,1,11,0.9991,396.00,3,0.2
28,0.1,1,11,0.9991,396.00,3,0.2
29,0.1,1,11,0.9991,396.00,3,0.2
30,0.1,1,11,0.9991,396.00,3,0.2
31,0.1,1,11,0.9991,396.00,3,0.2
32,0.1,1,11,0.9992,396.00,3,0.2
33,0.1,1,11,0.9991,396.00,3,0.2
34,0.1,1,11,0.9992,396.00,3,0.2
35,0.1,1,11,0.9991,396.00,3,0.2
36,0.1,1,11,0.9991,396.00,3,0.2
37,0.1,1,11,0.9991,396.00,3,0.2
38,0.1,1,11,0.9994,396.00,3,0.2
39,0.1,1,11,0.9991,396.00,3,0.2
40,0.1,1,11,0.9991,396.00,3,0.2
41,0.1,1,11,0.9991,396.00,3,0.2
42,0.1,1,11,0.9991,396.00,3,0.2
43,0.1,1,11,0.9991,396.00,3,0.2
44,0.1,1,11,0.9991,396.00,3,0.2
45,0.1,1,11,0.9991,396.00,3,0.2
46,0.1,1,11,0.9991,396.00,3,0.2
47,0.1,1,11,0.9991,396.00,3,0.2
48,0.1,1,11,0.9993,396.00,3,0.2
49,0.1,1,11,0.9991,396.00,3,0.2
50,0.1,1,11,0.9993,396.00,3,0.2
51,0.1,1,11,0.9991,396.00,3,0.2
52,0.1,1,11,0.9991,396.00,3,0.2
53,0.1,1,11,0.9991,396.00,3,0.2
54,0.1,1,11,0.9993,396.00,3,0.2
55,0.1,1,11,0.9991,396.00,3,0.2
56,0.1,1,11,0.9991,396.00,3,0.2
57,0.1,1,11,0.9991,396.00,3,0.2
58,0.1,1,11,0.9991,396.00,3,0.2
59,0.1,1,11,0.9992,396.00,3,0.2
60,0.1,1,11,0.9991,396.00,3,0.2
61,0.1,1,11,0.9991,396.00,3,0.2
62,0.1,1,11,0.9993,396.00,3,0.2
63,0.1,1,11,0.9991,396.00,3,0.2
64,0.1,1,11,0.9991,396.00,3,0.2
65,0.1,1,11,0.9992,396.00,3,0.2
66,0.1,1,11,0.9991,396.00,3,0.2
67,0.1,1,11,0.9991,396.00,3,0.2
68,0.1,1,11,0.9993,396.00,3,0.2
69,0.1,1,11,0.9991,396.00,3,0.2
70,0.1,1,11,0.9991,396.00,3,0.2
71,0.1,1,11,0.9992,396.00,3,0.2
72,0.1,1,11,0.9991,396.00,3,0.2
73,0.1,1,11,0.9991,396.00,3,0.2
74,0.1,1,11,0.9991,396.00,3,0.2
75,0.1,1,11,0.9991,396.00,3,0.2
76,0.1,1,11,0.9991,396.00,3,0.2
77,0.1,1,11,0.9991,396.00,3,0.2
78,0.1,1,11,0.9991,396.00,3,0.2
79,0.1,1,11,0.9991,396.00,3,0.2
80,0.1,1,11,0.9992,396.00,3,0.2
81,0.1,1,11,0.9991,396.00,3,0.2
82,0.1,1,11,0.9991,396.00,3,0.2
83,0.1,1,11,0.9993,396.00,3,0.2
84,0.1,1,11,0.9991,396.00,3,0.2
85,0.1,1,11,0.9991,396.00,3,0.2
86,0.1,1,11,0.9991,396.00,3,0.2
87,0.1,1,11,0.9991,396.00,3,0.2
88,0.1,1,11,0.9991,396.00,3,0.2
89,0.1,1,11,0.9991,396.00,3,0.2
90,0.1,1,11,0.9991,396.00,3,0.2
91,0.1,1,11,0.9991,396.00,3,0.2
92,0.1,1,11,0.9991,396.00,3,0.2
93,0.1,1,11,0.9991,396.00,3,0.2
94,0.1,1,11,0.9991,396.00,3,0.2
95,0.1,1,11,0.9991,396.00,3,0.2
96,0.1,1,11,0.9991,396.00,3,0.2
97,0.1,1,11,0.9992,396.00,3,0.2
98,0.1,1,11,0.9991,396.00,3,0.2
99,0.1,1,11,0.9991,396.00,3,0.2
0,0.2,1,11,0.9991,396.00,3,0.2
1,0.2,1,11,0.9991,396.00,3,0.2
2,0.2,1,11,0.9991,396.00,3,0.2
3,0.2,1,11,0.9992,396.00,3,0.2
4,0.2,1,11,0.9991,396.00,3,0.2
5,0.2,1,11,0.9991,396.00,3,0.2
6,0.2,1,11,0.9991,396.00,3,0.2
7,0.2,1,11,0.9991,396.00,3,0.2
8,0.2,1,11,0.9992,396.00,3,0.2
9,0.2,1,11,0.9991,396.00,3,0.2
10,0.2,1,11,0.9991,396.00,3,0.2
11,0.2,1,11,0.9991,396.00,3,0.2
12,0.2,1,11,0.9991,396.00,3,0.2
13,0.2,1,11,0.9991,396.00,3,0.2
14,0.2,1,11,0.9991,396.00,3,0.2
15,0.2,1,11,0.9991,396.00,3,0.2
16,0.2,1,11,0.9991,396.00,3,0.2
17,0.2,1,11,0.9992,396.00,3,0.2
18,0.2,1,11,0.9991,396.00,3,0.2
19,0.2,1,11,0.9992,396.00,3,0.2
20,0.2,1,11,0.9992,396.00,3,0.2
21,0.2,1,11,0.9991,396.00,3,0.2
22,0.2,1,11,0.9991,396.00,3,0.2
23,0.2,1,11,0.9991,396.00,3,0.2
24,0.2,1,11,0.9992,396.00,3,0.2
25,0.2,1,11,0.9991,396.00,3,0.2
26,0.2,1,11,0.9991,396.00,3,0.2
27,0.2,1,11,0.9994,396.00,3,0.2
28,0.2,1,11,0.9991,396.00,3,0.2
29,0.2,1,11,0.9991,396.00,3,0.2
30,0.2,1,11,0.9992,396.00,3,0.2
31,0.2,1,11,0.9994,396.00,3,0.2
32,0.2,1,11,0.9991,396.00,3,0.2
33,0.2,1,11,0.9991,396.00,3,0.2
34,0.2,1,11,0.9991,396.00,3,0.2
35,0.2,1,11,0.9991,396.00,3,0.2
36,0.2,1,11,0.9991,396.00,3,0.2
37,0.2,1,11,0.9991,396.00,3,0.2
38,0.2,1,11,0.9991,396.00,3,0.2
39,0.2,1,11,0.9991,396.00,3,0.2
40,0.2,1,11,0.9991,396.00,3,0.2
41,0.2,1,11,0.9991,396.00,3,0.2
42,0.2,1,11,0.9992,396.00,3,0.2
43,0.2,1,11,0.9991,396.00,3,0.2
44,0.2,1,11,0.9991,396.00,3,0.2
45,0.2,1,11,0.9991,396.00,3,0.2
46,0.2,1,11,0.9991,396.00,3,0.2
47,0.2,1,11,0.9991,396.00,3,0.2
48,0.2,1,11,0.9991,396.00,3,0.2
49,0.2,1,11,0.9993,396.00,3,0.2
50,0.2,1,11,0.9991,396.00,3,0.2
51,0.2,1,11,0.9991,396.00,3,0.2
52,0.2,1,11,0.9991,396.00,3,0.2
53,0.2,1,11,0.9991,396.00,3,0.2
54,0.2,1,11,0.9992,396.00,3,0.2
55,0.2,1,11,0.9991,396.00,3,0.2
56,0.2,1,11,0.9991,396.00,3,0.2
57,0.2,1,11,0.9991,396.00,3,0.2
58,0.2,1,11,0.9991,396.00,3,0.2
59,0.2,1,11,0.9991,396.00,3,0.2
60,0.2,1,11,0.9991,396.00,3,0.2
61,0.2,1,11,0.9991,396.00,3,0.2
62,0.2,1,11,0.9991,396.00,3,0.2
63,0.2,1,11,0.9993,396.00,3,0.2
64,0.2,1,11,0.9991,396.00,3,0.2
65,0.2,1,11,0.9991,396.00,3,0.2
66,0.2,1,11,0.9991,396.00,3,0.2
67,0.2,1,11,0.9992,396.00,3,0.2
68,0.2,1,11,0.9991,396.00,3,0.2
69,0.2,1,11,0.9993,396.00,3,0.2
70,0.2,1,11,0.9991,396.00,3,0.2
71,0.2,1,11,0.9991,396.00,3,0.2
72,0.2,1,11,0.9991,396.00,3,0.2
73,0.2,1,11,0.9993,396.00,3,0.2
74,0.2,1,11,0.9992,396.00,3,0.2
75,0.2,1,11,0.9994,396.00,3,0.2
76,0.2,1,11,0.9991,396.00,3,0.2
77,0.2,1,11,0.9991,396.00,3,0.2
78,0.2,1,11,0.9991,396.00,3,0.2
79,0.2,1,11,0.9991,396.00,3,0.2
80,0.2,1,11,0.9992,396.00,3,0.2
81,0.2,1,11,0.9994,396.00,3,0.2
82,0.2,1,11,0.9991,396.00,3,0.2
83,0.2,1,11,0.9992,396.00,3,0.2
84,0.2,1,11,0.9991,396.00,3,0.2
85,0.2,1,11,0.9991,396.00,3,0.2
86,0.2,1,11,0.9991,396.00,3,0.2
87,0.2,1,11,0.9991,396.00,3,0.2
88,0.2,1,11,0.9992,396.00,3,0.2
89,0.2,1,11,0.9991,396.00,3,0.2
90,0.2,1,11,0.9995,396.00,3,0.2
91,0.2,1,11,0.9992,396.00,3,0.2
92,0.2,1,11,0.9991,396.00,3,0.2
93,0.2,1,11,0.9992,396.00,3,0.2
94,0.2,1,11,0.9991,396.00,3,0.2
95,0.2,1,10,0.9990,360.00,3,0.2
96,0.2,1,11,0.9992,396.00,3,0.2
97,0.2,1,11,0.9991,396.00,3,0.2
98,0.2,1,11,0.9991,396.00,3,0.2
99,0.2,1,11,0.9991,396.00,3,0.2
0,0.3,1,11,0.9993,396.00,3,0.2
1,0.3,1,11,0.9992,396.00,3,0.2
2,0.3,1,11,0.9994,396.00,3,0.2
3,0.3,1,11,0.9991,396.00,3,0.2
4,0.3,1,11,0.9993,396.00,3,0.2
5,0.3,1,11,0.9991,396.00,3,0.2
6,0.3,1,11,0.9991,396.00,3,0.2
7,0.3,1,11,0.9991,396.00,3,0.2
8,0.3,1,11,0.9991,396.00,3,0.2
9,0.3,1,11,0.9991,396.00,3,0.2
10,0.3,1,11,0.9991,396.00,3,0.2
11,0.3,1,11,0.9991,396.00,3,0.2
12,0.3,1,11,0.9991,396.00,3,0.2
13,0.3,1,11,0.9991,396.00,3,0.2
14,0.3,1,11,0.9991,396.00,3,0.2
15,0.3,1,11,0.9991,396.00,3,0.2
16,0.3,1,11,0.9991,396.00,3,0.2
17,0.3,1,11,0.9991,396.00,3,0.2
18,0.3,1,11,0.9991,396.00,3,0.2
19,0.3,1,11,0.9991,396.00,3,0.2
20,0.3,1,11,0.9991,396.00,3,0.2
21,0.3,1,11,0.9991,396.00,3,0.2
22,0.3,1,11,0.9991,396.00,3,0.2
23,0.3,1,11,0.9991,396.00,3,0.2
24,0.3,1,11,0.9991,396.00,3,0.2
25,0.3,1,11,0.9991,396.00,3,0.2
26,0.3,1,11,0.9991,396.00,3,0.2
27,0.3,1,11,0.9991,396.00,3,0.2
28,0.3,1,11,0.9991,396.00,3,0.2
29,0.3,1,11,0.9991,396.00,3,0.2
30,0.3,1,10,0.9991,360.00,3,0.2
31,0.3,1,11,0.9992,396.00,3,0.2
32,0.3,1,11,0.9991,396.00,3,0.2
33,0.3,1,11,0.9991,396.00,3,0.2
34,0.3,1,11,0.9991,396.00,3,0.2
35,0.3,1,11,0.9991,396.00,3,0.2
36,0.3,1,11,0.9991,396.00,3,0.2
37,0.3,1,11,0.9991,396.00,3,0.2
38,0.3,1,11,0.9991,396.00,3,0.2
39,0.3,1,10,0.9991,360.00,3,0.2
40,0.3,1,11,0.9991,396.00,3,0.2
41,0.3,1,11,0.9992,396.00,3,0.2
42,0.3,1,11,0.9991,396.00,3,0.2
43,0.3,1,11,0.9991,396.00,3,0.2
44,0.3,1,11,0.9991,396.00,3,0.2
45,0.3,1,11,0.9991,396.00,3,0.2
46,0.3,1,11,0.9993,396.00,3,0.2
47,0.3,1,11,0.9991,396.00,3,0.2
48,0.3,1,11,0.9991,396.00,3,0.2
49,0.3,1,11,0.9993,396.00,3,0.2
50,0.3,1,11,0.9991,396.00,3,0.2
51,0.3,1,11,0.9992,396.00,3,0.2
52,0.3,1,11,0.9991,396.00,3,0.2
53,0.3,1,11,0.9991,396.00,3,0.2
54,0.3,1,11,0.9991,396.00,3,0.2
55,0.3,1,11,0.9991,396.00,3,0.2
56,0.3,1,11,0.9991,396.00,3,0.2
57,0.3,1,11,0.9991,396.00,3,0.2
58,0.3,1,11,0.9992,396.00,3,0.2
59,0.3,1,11,0.9991,396.00,3,0.2
60,0.3,1,11,0.9991,396.00,3,0.2
61,0.3,1,11,0.9991,396.00,3,0.2
62,0.3,1,11,0.9991,396.00,3,0.2
63,0.3,1,11,0.9991,396.00,3,0.2
64,0.3,1,11,0.9991,396.00,3,0.2
65,0.3,1,11,0.9991,396.00,3,0.2
66,0.3,1,11,0.9992,396.00,3,0.2
67,0.3,1,11,0.9991,396.00,3,0.2
68,0.3,1,11,0.9992,396.00,3,0.2
69,0.3,1,11,0.9991,396.00,3,0.2
70,0.3,1,11,0.9992,396.00,3,0.2
71,0.3,1,11,0.9992,396.00,3,0.2
72,0.3,1,11,0.9991,396.00,3,0.2
73,0.3,1,11,0.9991,396.00,3,0.2
74,0.3,1,11,0.9992,396.00,3,0.2
75,0.3,1,11,0.9991,396.00,3,0.2
76,0.3,1,11,0.9991,396.00,3,0.2
77,0.3,1,11,0.9991,396.00,3,0.2
78,0.3,1,11,0.9995,396.00,3,0.2
79,0.3,1,11,0.9992,396.00,3,0.2
80,0.3,1,11,0.9991,396.00,3,0.2
81,0.3,1,11,0.9991,396.00,3,0.2
82,0.3,1,11,0.9991,396.00,3,0.2
83,0.3,1,11,0.9991,396.00,3,0.2
84,0.3,1,11,0.9992,396.00,3,0.2
85,0.3,1,11,0.9991,396.00,3,0.2
86,0.3,1,11,0.9991,396.00,3,0.2
87,0.3,1,11,0.9991,396.00,3,0.2
88,0.3,1,10,0.9991,360.00,3,0.2
89,0.3,1,11,0.9991,396.00,3,0.2
90,0.3,1,11,0.9994,396.00,3,0.2
91,0.3,1,11,0.9991,396.00,3,0.2
92,0.3,1,11,0.9991,396.00,3,0.2
93,0.3,1,11,0.9993,396.00,3,0.2
94,0.3,1,11,0.9992,396.00,3,0.2
95,0.3,1,11,0.9991,396.00,3,0.2
96,0.3,1,11,0.9991,396.00,3,0.2
97,0.3,1,11,0.9991,396.00,3,0.2
98,0.3,1,11,0.9993,396.00,3,0.2
99,0.3,1,11,0.9991,396.00,3,0.2
0,0.4,1,11,0.9992,396.00,3,0.2
1,0.4,1,11,0.9991,396.00,3,0.2
2,0.4,1,11,0.9992,396.00,3,0.2
3,0.4,1,11,0.9994,396.00,3,0.2
4,0.4,1,11,0.9991,396.00,3,0.2
5,0.4,1,11,0.9991,396.00,3,0.2
6,0.4,1,11,0.9991,396.00,3,0.2
7,0.4,1,11,0.9991,396.00,3,0.2
8,0.4,1,11,0.9991,396.00,3,0.2
9,0.4,1,11,0.9991,396.00,3,0.2
10,0.4,1,11,0.9991,396.00,3,0.2
11,0.4,1,11,0.9991,396.00,3,0.2
12,0.4,1,11,0.9991,396.00,3,0.2
13,0.4,1,10,0.9991,360.00,3,0.2
14,0.4,1,11,0.9991,396.00,3,0.2
15,0.4,1,11,0.9991,396.00,3,0.2
16,0.4,1,11,0.9991,396.00,3,0.2
17,0.4,1,11,0.9992,396.00,3,0.2
18,0.4,1,11,0.9991,396.00,3,0.2
19,0.4,1,10,0.9991,360.00,3,0.2
20,0.4,1,11,0.9991,396.00,3,0.2
21,0.4,1,11,0.9992,396.00,3,0.2
22,0.4,1,11,0.9991,396.00,3,0.2
23,0.4,1,11,0.9991,396.00,3,0.2
24,0.4,1,11,0.9994,396.00,3,0.2
25,0.4,1,11,0.9991,396.00,3,0.2
26,0.4,1,11,0.9991,396.00,3,0.2
27,0.4,1,11,0.9991,396.00,3,0.2
28,0.4,1,11,0.9991,396.00,3,0.2
29,0.4,1,10,0.9991,360.00,3,0.2
30,0.4,1,11,0.9991,396.00,3,0.2
31,0.4,1,11,0.9991,396.00,3,0.2
32,0.4,1,11,0.9991,396.00,3,0.2
33,0.4,1,11,0.9991,396.00,3,0.2
34,0.4,1,11,0.9991,396.00,3,0.2
35,0.4,1,11,0.9991,396.00,3,0.2
36,0.4,1,11,0.9992,396.00,3,0.2
37,0.4,1,10,0.9990,360.00,3,0.2
38,0.4,1,11,0.9991,396.00,3,0.2
39,0.4,1,10,0.9990,360.00,3,0.2
40,0.4,1,11,0.9991,396.00,3,0.2
41,0.4,1,11,0.9991,396.00,3,0.2
42,0.4,1,11,0.9991,396.00,3,0.2
43,0.4,1,11,0.9991,396.00,3,0.2
44,0.4,1,11,0.9991,396.00,3,0.2
45,0.4,1,11,0.9992,396.00,3,0.2
46,0.4,1,11,0.9992,396.00,3,0.2
47,0.4,1,11,0.9991,396.00,3,0.2
48,0.4,1,11,0.9992,396.00,3,0.2
49,0.4,1,11,0.9991,396.00,3,0.2
50,0.4,1,11,0.9991,396.00,3,0.2
51,0.4,1,10,0.9991,360.00,3,0.2
52,0.4,1,11,0.9991,396.00,3,0.2
53,0.4,1,10,0.9991,360.00,3,0.2
54,0.4,1,11,0.9992,396.00,3,0.2
55,0.4,1,11,0.9991,396.00,3,0.2
56,0.4,1,10,0.9992,360.00,3,0.2
57,0.4,1,11,0.9991,396.00,3,0.2
58,0.4,1,11,0.9991,396.00,3,0.2
59,0.4,1,10,0.9992,360.00,3,0.2
60,0.4,1,11,0.9991,396.00,3,0.2
61,0.4,1,11,0.9991,396.00,3,0.2
62,0.4,1,10,0.9991,360.00,3,0.2
63,0.4,1,11,0.9991,396.00,3,0.2
64,0.4,1,11,0.9991,396.00,3,0.2
65,0.4,1,11,0.9991,396.00,3,0.2
66,0.4,1,11,0.9991,396.00,3,0.2
67,0.4,1,11,0.9991,396.00,3,0.2
68,0.4,1,11,0.9991,396.00,3,0.2
69,0.4,1,11,0.9991,396.00,3,0.2
70,0.4,1,11,0.9991,396.00,3,0.2
71,0.4,1,11,0.9991,396.00,3,0.2
72,0.4,1,11,0.9991,396.00,3,0.2
73,0.4,1,11,0.9992,396.00,3,0.2
74,0.4,1,11,0.9994,396.00,3,0.2
75,0.4,1,11,0.9991,396.00,3,0.2
76,0.4,1,11,0.9992,396.00,3,0.2
77,0.4,1,11,0.9991,396.00,3,0.2
78,0.4,1,11,0.9994,396.00,3,0.2
79,0.4,1,11,0.9991,396.00,3,0.2
80,0.4,1,11,0.9991,396.00,3,0.2
81,0.4,1,11,0.9993,396.00,3,0.2
82,0.4,1,10,0.9992,360.00,3,0.2
83,0.4,1,11,0.9991,396.00,3,0.2
84,0.4,1,10,0.9990,360.00,3,0.2
85,0.4,1,11,0.9994,396.00,3,0.2
86,0.4,1,11,0.9991,396.00,3,0.2
87,0.4,1,11,0.9992,396.00,3,0.2
88,0.4,1,11,0.9991,396.00,3,0.2
89,0.4,1,11,0.9991,396.00,3,0.2
90,0.4,1,11,0.9992,396.00,3,0.2
91,0.4,1,11,0.9992,396.00,3,0.2
92,0.4,1,11,0.9991,396.00,3,0.2
93,0.4,1,11,0.9992,396.00,3,0.2
94,0.4,1,11,0.9991,396.00,3,0.2
95,0.4,1,11,0.9994,396.00,3,0.2
96,0.4,1,11,0.9992,396.00,3,0.2
97,0.4,1,11,0.9992,396.00,3,0.2
98,0.4,1,11,0.9991,396.00,3,0.2
99,0.4,1,10,0.9990,360.00,3,0.2
0,0.5,1,10,0.9992,360.00,3,0.2
1,0.5,1,11,0.9991,396.00,3,0.2
2,0.5,1,11,0.9991,396.00,3,0.2
3,0.5,1,11,0.9991,396.00,3,0.2
4,0.5,1,11,0.9991,396.00,3,0.2
5,0.5,1,11,0.9991,396.00,3,0.2
6,0.5,1,11,0.9991,396.00,3,0.2
7,0.5,1,11,0.9991,396.00,3,0.2
8,0.5,1,11,0.9991,396.00,3,0.2
9,0.5,1,11,0.9991,396.00,3,0.2
10,0.5,1,11,0.9991,396.00,3,0.2
11,0.5,1,11,0.9991,396.00,3,0.2
12,0.5,1,11,0.9991,396.00,3,0.2
13,0.5,1,11,0.9991,396.00,3,0.2
14,0.5,1,11,0.9991,396.00,3,0.2
15,0.5,1,11,0.9991,396.00,3,0.2
16,0.5,1,11,0.9991,396.00,3,0.2
17,0.5,1,11,0.9991,396.00,3,0.2
18,0.5,1,11,0.9993,396.00,3,0.2
19,0.5,1,11,0.9991,396.00,3,0.2
20,0.5,1,11,0.9991,396.00,3,0.2
21,0.5,1,11,0.9992,396.00,3,0.2
22,0.5,1,11,0.9991,396.00,3,0.2
23,0.5,1,11,0.9992,396.00,3,0.2
24,0.5,1,11,0.9995,396.00,3,0.2
25,0.5,1,11,0.9991,396.00,3,0.2
26,0.5,1,11,0.9991,396.00,3,0.2
27,0.5,1,11,0.9991,396.00,3,0.2
28,0.5,1,11,0.9991,396.00,3,0.2
29,0.5,1,11,0.9991,396.00,3,0.2
30,0.5,1,11,0.9991,396.00,3,0.2
31,0.5,1,11,0.9994,396.00,3,0.2
32,0.5,1,11,0.9991,396.00,3,0.2
33,0.5,1,11,0.9991,396.00,3,0.2
34,0.5,1,11,0.9991,396.00,3,0.2
35,0.5,1,11,0.9991,396.00,3,0.2
36,0.5,1,11,0.9991,396.00,3,0.2
37,0.5,1,10,0.9992,360.00,3,0.2
38,0.5,1,11,0.9991,396.00,3,0.2
39,0.5,1,11,0.9992,396.00,3,0.2
40,0.5,1,11,0.9991,396.00,3,0.2
41,0.5,1,11,0.9991,396.00,3,0.2
42,0.5,1,11,0.9995,396.00,3,0.2
43,0.5,1,11,0.9991,396.00,3,0.2
44,0.5,1,11,0.9993,396.00,3,0.2
45,0.5,1,11,0.9995,396.00,3,0.2
46,0.5,1,11,0.9991,396.00,3,0.2
47,0.5,1,11,0.9991,396.00,3,0.2
48,0.5,1,11,0.9991,396.00,3,0.2
49,0.5,1,11,0.9991,396.00,3,0.2
50,0.5,1,11,0.9991,396.00,3,0.2
51,0.5,1,11,0.9991,396.00,3,0.2
52,0.5,1,11,0.9991,396.00,3,0.2
53,0.5,1,11,0.9994,396.00,3,0.2
54,0.5,1,11,0.9991,396.00,3,0.2
55,0.5,1,11,0.9991,396.00,3,0.2
