trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T
5,447,0.4,2.50,1,11,0.9992,396.00,4,1.0,3,0.2
6,448,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
7,449,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
8,450,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
9,451,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
10,452,0.4,2.50,1,11,0.9992,396.00,4,1.0,3,0.2
11,453,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
12,454,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
13,455,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
14,456,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
15,457,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
16,458,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
17,459,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
18,460,0.4,2.50,1,11,0.9995,396.00,4,1.0,3,0.2
19,461,0.4,2.50,1,11,0.9991,396.00,4,1.0,3,0.2
0,542,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
1,543,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
2,544,0.5,2.00,1,10,0.9990,360.00,4,1.0,3,0.2
3,545,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
4,546,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
5,547,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
6,548,0.5,2.00,1,11,0.9993,396.00,4,1.0,3,0.2
7,549,0.5,2.00,1,11,0.9992,396.00,4,1.0,3,0.2
8,550,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
9,551,0.5,2.00,1,11,0.9992,396.00,4,1.0,3,0.2
10,552,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
11,553,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
12,554,0.5,2.00,1,11,0.9992,396.00,4,1.0,3,0.2
13,555,0.5,2.00,1,10,0.9992,360.00,4,1.0,3,0.2
14,556,0.5,2.00,1,11,0.9994,396.00,4,1.0,3,0.2
15,557,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
16,558,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
17,559,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
18,560,0.5,2.00,1,11,0.9991,396.00,4,1.0,3,0.2
19,561,0.5,2.00,1,11,0.9994,396.00,4,1.0,3,0.2
0,642,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
1,643,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
2,644,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
3,645,0.6,1.67,1,10,0.9990,360.00,4,1.0,3,0.2
4,646,0.6,1.67,1,11,0.9992,396.00,4,1.0,3,0.2
5,647,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
6,648,0.6,1.67,1,10,0.9990,360.00,4,1.0,3,0.2
7,649,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
8,650,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
9,651,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
10,652,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
11,653,0.6,1.67,1,11,0.9993,396.00,4,1.0,3,0.2
12,654,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
13,655,0.6,1.67,1,11,0.9992,396.00,4,1.0,3,0.2
14,656,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
15,657,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
16,658,0.6,1.67,1,11,0.9992,396.00,4,1.0,3,0.2
17,659,0.6,1.67,1,11,0.9990,396.00,4,1.0,3,0.2
18,660,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
19,661,0.6,1.67,1,11,0.9991,396.00,4,1.0,3,0.2
0,742,0.7,1.43,1,10,0.9991,360.00,4,1.0,3,0.2
1,743,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
2,744,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
3,745,0.7,1.43,1,11,0.9992,396.00,4,1.0,3,0.2
4,746,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
5,747,0.7,1.43,1,10,0.9991,360.00,4,1.0,3,0.2
6,748,0.7,1.43,1,11,0.9992,396.00,4,1.0,3,0.2
7,749,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
8,750,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
9,751,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
10,752,0.7,1.43,1,10,0.9991,360.00,4,1.0,3,0.2
11,753,0.7,1.43,1,10,0.9992,360.00,4,1.0,3,0.2
12,754,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
13,755,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
14,756,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
15,757,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
16,758,0.7,1.43,1,11,0.9990,396.00,4,1.0,3,0.2
17,759,0.7,1.43,1,11,0.9992,396.00,4,1.0,3,0.2
18,760,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
19,761,0.7,1.43,1,11,0.9991,396.00,4,1.0,3,0.2
0,842,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
1,843,0.8,1.25,1,10,0.9992,360.00,4,1.0,3,0.2
2,844,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
3,845,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
4,846,0.8,1.25,1,10,0.9991,360.00,4,1.0,3,0.2
5,847,0.8,1.25,1,10,0.9992,360.00,4,1.0,3,0.2
6,848,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
7,849,0.8,1.25,1,12,0.9994,432.00,4,1.0,3,0.2
8,850,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
9,851,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
10,852,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
11,853,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
12,854,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
13,855,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
14,856,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
15,857,0.8,1.25,1,11,0.9992,396.00,4,1.0,3,0.2
16,858,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
17,859,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
18,860,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
19,861,0.8,1.25,1,11,0.9991,396.00,4,1.0,3,0.2
0,942,0.9,1.11,1,12,0.9993,432.00,4,1.0,3,0.2
1,943,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
2,944,0.9,1.11,1,10,0.9991,360.00,4,1.0,3,0.2
3,945,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
4,946,0.9,1.11,1,12,0.9995,432.00,4,1.0,3,0.2
5,947,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
6,948,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
7,949,0.9,1.11,1,12,0.9994,432.00,4,1.0,3,0.2
8,950,0.9,1.11,1,12,0.9994,432.00,4,1.0,3,0.2
9,951,0.9,1.11,1,10,0.9992,360.00,4,1.0,3,0.2
10,952,0.9,1.11,1,11,0.9990,396.00,4,1.0,3,0.2
11,953,0.9,1.11,1,11,0.9994,396.00,4,1.0,3,0.2
12,954,0.9,1.11,1,10,0.9991,360.00,4,1.0,3,0.2
13,955,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
14,956,0.9,1.11,1,13,0.9993,468.00,4,1.0,3,0.2
15,957,0.9,1.11,1,11,0.9994,396.00,4,1.0,3,0.2
16,958,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
17,959,0.9,1.11,1,11,0.9991,396.00,4,1.0,3,0.2
18,960,0.9,1.11,1,12,0.9993,432.00,4,1.0,3,0.2
19,961,0.9,1.11,1,13,0.9994,468.00,4,1.0,3,0.2
0,1042,1.0,1.00,1,10,0.9990,360.00,4,1.0,3,0.2
1,1043,1.0,1.00,1,14,0.9994,504.00,4,1.0,3,0.2
2,1044,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
3,1045,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
4,1046,1.0,1.00,1,14,0.9994,504.00,4,1.0,3,0.2
5,1047,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
6,1048,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
7,1049,1.0,1.00,1,11,0.9977,396.00,4,1.0,3,0.2
8,1050,1.0,1.00,1,10,0.9990,360.00,4,1.0,3,0.2
9,1051,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
10,1052,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
11,1053,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
12,1054,1.0,1.00,1,11,0.9992,396.00,4,1.0,3,0.2
13,1055,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
14,1056,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
