experiment,layout,grid,obstacle_density,sigma,weight_scale,H,direct_conn,success_rate,avg_rcp,avg_rcp_success,R,R_effective,T,active_cells,avg_conf_success,avg_final_conf,avg_sat_count_success,avg_steps,avg_steps_success,conditional_success,feasible_rate,final_confidence,max_steps,mean_best_acc,mean_best_mse,mean_detour_success,mean_path_success,mode,mode_variant,n_effective,rcp,snr,steps,success,trial,trial_seed,trials
B,,,,1.5,1.0,,,1.00,483.1,,3,3,0.2,,,0.999,,13.4,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.6,1.0,,,1.00,550.8,,3,3,0.2,,,0.999,,15.3,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.7,1.0,,,1.00,596.2,,3,3,0.2,,,0.999,,16.6,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.8,1.0,,,1.00,540.7,,3,3,0.2,,,0.999,,15.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.9,1.0,,,0.98,655.2,,3,3,0.2,,,0.995,,18.2,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,2.0,1.0,,,1.00,688.3,,3,3,0.2,,,0.999,,19.1,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.0,0.5,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.1,0.5,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.2,0.5,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.3,0.5,,,1.00,396.0,,3,3,0.2,,,0.999,,11.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.4,0.5,,,1.00,406.1,,3,3,0.2,,,0.999,,11.3,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.5,0.5,,,1.00,418.3,,3,3,0.2,,,0.999,,11.6,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.6,0.5,,,1.00,468.0,,3,3,0.2,,,0.999,,13.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.7,0.5,,,1.00,539.3,,3,3,0.2,,,0.999,,15.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.8,0.5,,,1.00,601.2,,3,3,0.2,,,0.999,,16.7,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.9,0.5,,,1.00,728.6,,3,3,0.2,,,0.999,,20.2,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.0,0.5,,,1.00,1000.8,,3,3,0.2,,,0.998,,27.8,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.1,0.5,,,0.92,1129.7,,3,3,0.2,,,0.982,,31.4,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.2,0.5,,,0.80,1225.4,,3,3,0.2,,,0.937,,34.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.3,0.5,,,0.68,1386.7,,3,3,0.2,,,0.914,,38.5,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.4,0.5,,,0.74,1356.5,,3,3,0.2,,,0.903,,37.7,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.5,0.5,,,0.66,1517.8,,3,3,0.2,,,0.885,,42.2,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.6,0.5,,,0.56,1568.2,,3,3,0.2,,,0.875,,43.6,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.7,0.5,,,0.54,1612.1,,3,3,0.2,,,0.849,,44.8,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.8,0.5,,,0.54,1687.7,,3,3,0.2,,,0.832,,46.9,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.9,0.5,,,0.38,1709.3,,3,3,0.2,,,0.784,,47.5,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,2.0,0.5,,,0.38,1717.2,,3,3,0.2,,,0.783,,47.7,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.0,0.2,,,1.00,427.7,,3,3,0.2,,,0.986,,11.9,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.1,0.2,,,1.00,1064.9,,3,3,0.2,,,0.986,,29.6,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.2,0.2,,,0.94,1537.9,,3,3,0.2,,,0.968,,42.7,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.3,0.2,,,0.82,1689.8,,3,3,0.2,,,0.938,,46.9,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.4,0.2,,,0.66,1766.9,,3,3,0.2,,,0.900,,49.1,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.5,0.2,,,0.42,1725.8,,3,3,0.2,,,0.856,,47.9,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.6,0.2,,,0.46,1768.3,,3,3,0.2,,,0.816,,49.1,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.7,0.2,,,0.18,1781.3,,3,3,0.2,,,0.702,,49.5,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.8,0.2,,,0.26,1789.9,,3,3,0.2,,,0.729,,49.7,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.9,0.2,,,0.20,1800.0,,3,3,0.2,,,0.732,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.0,0.2,,,0.18,1752.5,,3,3,0.2,,,0.689,,48.7,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.1,0.2,,,0.10,1800.0,,3,3,0.2,,,0.679,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.2,0.2,,,0.10,1800.0,,3,3,0.2,,,0.648,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.3,0.2,,,0.08,1800.0,,3,3,0.2,,,0.684,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.4,0.2,,,0.08,1800.0,,3,3,0.2,,,0.654,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.5,0.2,,,0.06,1800.0,,3,3,0.2,,,0.644,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
