trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
65,42,207,1207,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,d346fec513de8127,binary,binary_quantized,2,5,0
66,42,208,1208,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,9bdc5f131bcbc6ed,binary,binary_quantized,2,5,0
67,42,209,1209,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,de2a08985f127b7c,binary,binary_quantized,2,5,0
68,42,210,1210,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,5e4b08e3b90a04dd,binary,binary_quantized,2,5,0
69,42,211,1211,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,f3af0fa53ce1067f,binary,binary_quantized,2,5,0
70,42,212,1212,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,606a23a3a7c2976c,binary,binary_quantized,2,5,0
71,42,213,1213,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,c178c58fae384086,binary,binary_quantized,2,5,0
72,42,214,1214,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,884f63e98a7dd63d,binary,binary_quantized,2,5,0
73,42,215,1215,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,a33da3458026d744,binary,binary_quantized,2,5,0
74,42,216,1216,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,08ad13e0d7f1dfb1,binary,binary_quantized,2,5,0
75,42,217,1217,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,8e4c195c88d42de3,binary,binary_quantized,2,5,0
76,42,218,1218,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,11af976745c579ae,binary,binary_quantized,2,5,0
77,42,219,1219,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,a1a3f80c0ac8ad12,binary,binary_quantized,2,5,0
78,42,220,1220,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,ad43d3f6a238ce17,binary,binary_quantized,2,5,0
79,42,221,1221,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,74cd93014f52636e,binary,binary_quantized,2,5,0
80,42,222,1222,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,a0ee61f8828f830f,binary,binary_quantized,2,5,0
81,42,223,1223,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,26f30a39102a6496,binary,binary_quantized,2,5,0
82,42,224,1224,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,1a62ea1db2532fe6,binary,binary_quantized,2,5,0
83,42,225,1225,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,a85f8db737bfd21b,binary,binary_quantized,2,5,0
84,42,226,1226,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,94614db552722caf,binary,binary_quantized,2,5,0
85,42,227,1227,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,0b7ca72c8a77d09c,binary,binary_quantized,2,5,0
86,42,228,1228,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,4b7a3969020d3505,binary,binary_quantized,2,5,0
87,42,229,1229,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,1eb091227fee2723,binary,binary_quantized,2,5,0
88,42,230,1230,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,549a618679cc6771,binary,binary_quantized,2,5,0
89,42,231,1231,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,d1476459723efebe,binary,binary_quantized,2,5,0
90,42,232,1232,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,59eb40131fa05975,binary,binary_quantized,2,5,0
91,42,233,1233,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,0c41affb215823af,binary,binary_quantized,2,5,0
92,42,234,1234,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,02c3921f49a8d8a0,binary,binary_quantized,2,5,0
93,42,235,1235,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,29ad779c35efc727,binary,binary_quantized,2,5,0
