weight_scale,sigma,R_effective,mode,mode_variant,n_effective,phase_label,success_rate,avg_rcp
0.1,1.5,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.1,1.6,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.1,1.7,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.1,1.8,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.1,1.9,2,binary,binary_strict_R2,1,edge,0.67,16.0
0.1,2.0,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,0.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,0.1,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,0.2,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,0.3,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,0.4,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,0.5,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,0.6,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,0.7,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,0.8,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,0.9,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,1.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,1.1,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,1.2,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,1.3,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,1.4,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,1.5,2,binary,binary_strict_R2,1,edge,0.67,16.0
0.05,1.6,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,1.7,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,1.8,2,binary,binary_strict_R2,1,edge,0.33,16.0
0.05,1.9,2,binary,binary_strict_R2,1,fail,0.00,16.0
0.05,2.0,2,binary,binary_strict_R2,1,fail,0.00,16.0
