weight_scale,sigma,R_effective,mode,mode_variant,n_effective,phase_label,success_rate,avg_rcp
0.1,1.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.5,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,2.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,432.0
0.05,0.1,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.2,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.5,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.1,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.2,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.5,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,2.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
