trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
21,42,163,1163,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.99999999997532,45000.0,18,100,0,0.0,10,16e5e40ed72ec300,adaptive,adaptive_heuristic_n1,1,3,3800
22,42,164,1164,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999559104,45000.0,18,100,0,0.0,10,479d96fbf1be6318,adaptive,adaptive_heuristic_n1,1,3,3751
23,42,165,1165,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999496723,45000.0,18,100,0,0.0,10,86be2ae764891f66,adaptive,adaptive_heuristic_n1,1,3,3500
24,42,166,1166,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.37897773935902845,45000.0,18,100,0,0.0,10,0a880d435713e4b0,adaptive,adaptive_heuristic_n1,1,3,3900
25,42,167,1167,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999634104,45000.0,18,100,0,0.0,10,eb0aa752066489b6,adaptive,adaptive_heuristic_n1,1,3,3950
26,42,168,1168,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999693976,45000.0,18,100,0,0.0,10,85a99c0e2da28e9d,adaptive,adaptive_heuristic_n1,1,3,3600
27,42,169,1169,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999576523,45000.0,18,100,0,0.0,10,9b011070aab3abc4,adaptive,adaptive_heuristic_n1,1,3,4100
28,42,170,1170,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999598015,45000.0,18,100,0,0.0,10,fa20802148d30a7f,adaptive,adaptive_heuristic_n1,1,3,3650
29,42,171,1171,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999767957,45000.0,18,100,0,0.0,10,ff79b6acbde70ca0,adaptive,adaptive_heuristic_n1,1,3,3201
30,42,172,1172,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999779966,45000.0,18,100,0,0.0,10,b4b8f8c8fb323c65,adaptive,adaptive_heuristic_n1,1,3,4100
31,42,173,1173,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999671596,45000.0,18,100,0,0.0,10,64ac82e073496f01,adaptive,adaptive_heuristic_n1,1,3,3851
32,42,174,1174,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999971673,45000.0,18,100,0,0.0,10,50de84fe617d519f,adaptive,adaptive_heuristic_n1,1,3,4050
33,42,175,1175,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999611566,45000.0,18,100,0,0.0,10,c8d682ab760e65f1,adaptive,adaptive_heuristic_n1,1,3,4050
34,42,176,1176,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.4343383827269428,45000.0,18,100,0,0.0,10,9cc1c847045a24b5,adaptive,adaptive_heuristic_n1,1,3,3900
35,42,177,1177,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.99999999996622,45000.0,18,100,0,0.0,10,0e567806df89b398,adaptive,adaptive_heuristic_n1,1,3,3400
36,42,178,1178,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999784863,45000.0,18,100,0,0.0,10,c1aa5032f5ec481a,adaptive,adaptive_heuristic_n1,1,3,4100
